POINT_X,POINT_Y,LULC,NDVI,Elevation,Slope,Curvature,Aspect,TWI,Drainage_Density,Precipitation,Distance_to_Road,Distance_to_River,SPI,Class
291147.8388,2492404.817,1,-0.208294794,6,2.210925102,1,245.2098999,3.254060437,0.000133952,,1748.677368,0,-3.254060437,0
288060.3437,2490956.484,1,-0.067128263,3,0.927409947,-4,180,4.816028829,0.000348254,,0,0,-3.4300432,1
289182.7335,2491236.778,1,-0.202373847,11,5.636537552,0,169.7728577,2.31562242,0.000355845,,391.0161438,552.9803467,-2.31562242,1
288982.8029,2493675.332,1,-0.238270164,3,1.854334116,-2,180,5.375953389,0.000281697,,2737.113037,0,-1.484397794,0
290087.232,2492589.747,1,-0.22875613,14,1.366659045,-5,132.7286377,3.735249109,0.000303276,,1612.200928,782.0322876,-3.735249109,1
295461.0949,2498078.594,1,-0.158798277,5,2.008114576,0,90,9.483734008,0.000386012,3298.918213,391.0161438,391.0161438,2.782777533,0
289628.9937,2492660.372,1,-0.20486398,14,1.366663456,-4,227.2715302,3.735245881,0.000333667,,1748.677368,1105.960693,-3.735245881,1
285993.8308,2493676.31,1,-0.241628796,3,2.108389378,-2,28.42839432,3.30157953,0.000199566,,2977.890137,391.0161438,-3.30157953,0
289867.9785,2493341.665,1,-0.24648048,3,2.108379841,12,331.5720825,4.400196345,0.000257467,,2473.003174,782.0322876,-2.203152821,0
289360.8327,2491488.365,1,-0.203869268,14,2.108322144,-21,331.5749817,3.30161144,0.00033164,,552.9803467,874.3386841,-3.30161144,0
285830.6318,2494930.718,1,-0.275045037,4,2.007686138,3,90,4.959987367,0.000189448,,4082.328369,552.9803467,-1.741339716,1
289168.0087,2491812.488,1,-0.197247446,14,2.10833168,-1,208.4255066,3.301606913,0.00037498,,782.0322876,391.0161438,-3.301606913,0
289672.4827,2494112.014,1,-0.20875074,4,4.76804781,-12,39.07771683,2.48385797,,,,,-2.48385797,0
289469.6293,2490839.407,1,-0.218900964,7,5.007162094,-6,90,2.434693227,0.000316171,,391.0161438,552.9803467,-2.434693227,1
288536.5879,2493451.024,1,-0.23936215,7,4.11523962,-8,76.99759674,3.730281553,0.000360738,,2378.458252,552.9803467,-1.533149626,1
290661.4085,2492797.741,1,-0.239180341,13,3.009585381,5,90,2.945314165,0.0002297,,1955.080688,391.0161438,-2.945314165,1
289317.5754,2491246.703,1,-0.202776775,10,3.837670803,7,164.8569489,2.701715273,0.00033164,,552.9803467,874.3386841,-2.701715273,0
285274.9463,2495427.456,1,-0.284273386,6,0,-4,0,11.51292546,0.000164542,,4576.726563,782.0322876,-11.51292546,0
284144.2872,2495135.829,1,-0.314810961,4,1.854334116,-1,180,3.43004324,9.63E-05,,5098.226563,874.3386841,-3.43004324,0
286201.1925,2493687.782,1,-0.242708117,4,2.955503464,-3,340.1558838,2.963476786,0.000240333,,2846.640625,391.0161438,-2.963476786,0
289649.6151,2492655.302,1,-0.203453839,13,0,5,0,11.51292546,0.000333667,,1748.677368,1105.960693,-11.51292546,0
289353.3916,2493337.399,1,-0.245858997,4,3.533291817,7,238.3764954,3.477713486,0.000306721,,2378.458252,552.9803467,-2.091500092,0
288969.1597,2492224.227,1,-0.207124874,11,0.927409947,-11,0,4.122881649,0.000394384,,1173.048462,552.9803467,-4.122881649,0
291348.0462,2492411.433,1,-0.222750261,13,1.003989816,-1,90,5.142184558,0.000133952,,1748.677368,0,-2.945340251,1
288597.3814,2492099.664,1,-0.208321169,10,2.731714487,-2,227.2703857,3.04232986,0.000400109,,1236.501587,391.0161438,-3.04232986,0
288854.1337,2492815.205,1,-0.252111703,5,1.366669416,3,132.728241,4.428388701,0.000366948,,1955.080688,782.0322876,-3.042303852,0
290101.8342,2492670.127,1,-0.217588261,10,2.780288458,17,180,3.024681056,0.000303276,,1612.200928,782.0322876,-3.024681056,0
286070.0872,2495124.287,1,-0.252738237,3,1.366777658,-1,47.2759552,5.344600238,0.000198884,,4371.693359,0,-2.126059628,1
287065.4941,2489757.86,5,0.446800888,6,2.731489658,-2,47.26601791,3.042412274,0.000258471,,782.0322876,1173.048462,-3.042412274,1
289554.6803,2494046.726,1,-0.224869356,1,0,8,0,14.22097567,0.000167079,,3152.4729,0,-11.51292546,1
